H
1.000000 1.000000 1
1.585569 1.051384 
501 0.020000
  0.00025000  -2.56068530  -2.58934081
  0.02000000  -2.56066750  -2.58932171
  0.04000000  -2.56059490  -2.58922961
  0.06000000  -2.56044165  -2.58899240
  0.08000000  -2.56015984  -2.58848666
  0.10000000  -2.55968329  -2.58754381
  0.12000000  -2.55892842  -2.58595424
  0.14000000  -2.55779535  -2.58347250
  0.16000000  -2.55616927  -2.57982338
  0.18000000  -2.55392196  -2.57470893
  0.20000000  -2.55091360  -2.56781613
  0.22000000  -2.54699470  -2.55882511
  0.24000000  -2.54200819  -2.54741783
  0.26000000  -2.53579174  -2.53328685
  0.28000000  -2.52818012  -2.51614430
  0.30000000  -2.51900767  -2.49573049
  0.32000000  -2.50811088  -2.47182229
  0.34000000  -2.49533099  -2.44424089
  0.36000000  -2.48051653  -2.41285877
  0.38000000  -2.46352595  -2.37760578
  0.40000000  -2.44423009  -2.33847407
  0.42000000  -2.42251460  -2.29552175
  0.44000000  -2.39828220  -2.24887518
  0.46000000  -2.37145476  -2.19872977
  0.48000000  -2.34197524  -2.14534912
  0.50000000  -2.30980929  -2.08906268
  0.52000000  -2.27494671  -2.03026159
  0.54000000  -2.23740250  -1.96939307
  0.56000000  -2.19721769  -1.90695303
  0.58000000  -2.15445975  -1.84347733
  0.60000000  -2.10922277  -1.77953147
  0.62000000  -2.06162719  -1.71569909
  0.64000000  -2.01181921  -1.65256924
  0.66000000  -1.95996988  -1.59072281
  0.68000000  -1.90627380  -1.53071809
  0.70000000  -1.85094754  -1.47307603
  0.72000000  -1.79422775  -1.41826528
  0.74000000  -1.73636894  -1.36668745
  0.76000000  -1.67764106  -1.31866312
  0.78000000  -1.61832687  -1.27441901
  0.80000000  -1.55871905  -1.23407700
  0.82000000  -1.49911728  -1.19764566
  0.84000000  -1.43982505  -1.16501518
  0.86000000  -1.38114655  -1.13595660
  0.88000000  -1.32338340  -1.11012653
  0.90000000  -1.26683144  -1.08707840
  0.92000000  -1.21177748  -1.06628174
  0.94000000  -1.15849619  -1.04715099
  0.96000000  -1.10724695  -1.02908525
  0.98000000  -1.05827086  -1.01152096
  1.00000000  -1.01178789  -0.99399925
  1.02000000  -0.96799407  -0.97624998
  1.04000000  -0.92705891  -0.95829472
  1.06000000  -0.88912293  -0.94055578
  1.08000000  -0.85429539  -0.92343671
  1.10000000  -0.82265224  -0.90692915
  1.12000000  -0.79423425  -0.89099781
  1.14000000  -0.76904541  -0.87561026
  1.16000000  -0.74705168  -0.86073669
  1.18000000  -0.72818004  -0.84634969
  1.20000000  -0.71231797  -0.83242407
  1.22000000  -0.69931343  -0.81893667
  1.24000000  -0.68897540  -0.80586621
  1.26000000  -0.68107518  -0.79319307
  1.28000000  -0.67534840  -0.78089920
  1.30000000  -0.67149802  -0.76896793
  1.32000000  -0.66919840  -0.75738384
  1.34000000  -0.66810058  -0.74613263
  1.36000000  -0.66783893  -0.73520100
  1.38000000  -0.66803936  -0.72457651
  1.40000000  -0.66832918  -0.71424748
  1.42000000  -0.66834881  -0.70420286
  1.44000000  -0.66776555  -0.69443220
  1.46000000  -0.66628934  -0.68492547
  1.48000000  -0.66369096  -0.67567308
  1.50000000  -0.65982257  -0.66666575
  1.52000000  -0.65464080  -0.65789450
  1.54000000  -0.64823255  -0.64935061
  1.56000000  -0.64084376  -0.64102564
  1.58000000  -0.63291106  -0.63291139
  1.60000000  -0.62500000  -0.62500000
  1.62000000  -0.61728395  -0.61728395
  1.64000000  -0.60975610  -0.60975610
  1.66000000  -0.60240964  -0.60240964
  1.68000000  -0.59523810  -0.59523810
  1.70000000  -0.58823529  -0.58823529
  1.72000000  -0.58139535  -0.58139535
  1.74000000  -0.57471264  -0.57471264
  1.76000000  -0.56818182  -0.56818182
  1.78000000  -0.56179775  -0.56179775
  1.80000000  -0.55555556  -0.55555556
  1.82000000  -0.54945055  -0.54945055
  1.84000000  -0.54347826  -0.54347826
  1.86000000  -0.53763441  -0.53763441
  1.88000000  -0.53191489  -0.53191489
  1.90000000  -0.52631579  -0.52631579
  1.92000000  -0.52083333  -0.52083333
  1.94000000  -0.51546392  -0.51546392
  1.96000000  -0.51020408  -0.51020408
  1.98000000  -0.50505051  -0.50505051
  2.00000000  -0.50000000  -0.50000000
  2.02000000  -0.49504950  -0.49504950
  2.04000000  -0.49019608  -0.49019608
  2.06000000  -0.48543689  -0.48543689
  2.08000000  -0.48076923  -0.48076923
  2.10000000  -0.47619048  -0.47619048
  2.12000000  -0.47169811  -0.47169811
  2.14000000  -0.46728972  -0.46728972
  2.16000000  -0.46296296  -0.46296296
  2.18000000  -0.45871560  -0.45871560
  2.20000000  -0.45454545  -0.45454545
  2.22000000  -0.45045045  -0.45045045
  2.24000000  -0.44642857  -0.44642857
  2.26000000  -0.44247788  -0.44247788
  2.28000000  -0.43859649  -0.43859649
  2.30000000  -0.43478261  -0.43478261
  2.32000000  -0.43103448  -0.43103448
  2.34000000  -0.42735043  -0.42735043
  2.36000000  -0.42372881  -0.42372881
  2.38000000  -0.42016807  -0.42016807
  2.40000000  -0.41666667  -0.41666667
  2.42000000  -0.41322314  -0.41322314
  2.44000000  -0.40983607  -0.40983607
  2.46000000  -0.40650407  -0.40650407
  2.48000000  -0.40322581  -0.40322581
  2.50000000  -0.40000000  -0.40000000
  2.52000000  -0.39682540  -0.39682540
  2.54000000  -0.39370079  -0.39370079
  2.56000000  -0.39062500  -0.39062500
  2.58000000  -0.38759690  -0.38759690
  2.60000000  -0.38461538  -0.38461538
