He
   2.      4.00     1     0
   .800000   .800000
   501    .020
    .0031250  -4.5773417  -3.1382340
    .0200000  -4.5844082  -3.1407203
    .0400000  -4.5979963  -3.1456095
    .0600000  -4.6155395  -3.1521440
    .0800000  -4.6363105  -3.1601596
    .1000000  -4.6598519  -3.1695446
    .1200000  -4.6858001  -3.1801887
    .1400000  -4.7138232  -3.1919685
    .1600000  -4.7435927  -3.2047420
    .1800000  -4.7747682  -3.2183468
    .2000000  -4.8069879  -3.2325991
    .2200000  -4.8398621  -3.2472939
    .2400000  -4.8729687  -3.2622053
    .2600000  -4.9058494  -3.2770872
    .2800000  -4.9380075  -3.2916738
    .3000000  -4.9689054  -3.3056811
    .3200000  -4.9979636  -3.3188080
    .3400000  -5.0245603  -3.3307386
    .3600000  -5.0480318  -3.3411445
    .3800000  -5.0676741  -3.3496875
    .4000000  -5.0827455  -3.3560234
    .4200000  -5.0924705  -3.3598062
    .4400000  -5.0960459  -3.3606926
    .4600000  -5.0926478  -3.3583480
    .4800000  -5.0814412  -3.3524522
    .5000000  -5.0615917  -3.3427064
    .5200000  -5.0322791  -3.3288400
    .5400000  -4.9927143  -3.3106184
    .5600000  -4.9421577  -3.2878500
    .5800000  -4.8799409  -3.2603945
    .6000000  -4.8054900  -3.2281690
    .6200000  -4.7183522  -3.1911554
    .6400000  -4.6182222  -3.1494054
    .6600000  -4.5049709  -3.1030442
    .6800000  -4.3786739  -3.0522742
    .7000000  -4.2396381  -2.9973743
    .7200000  -4.0884257  -2.9386989
    .7400000  -3.9258749  -2.8766735
    .7600000  -3.7531134  -2.8117884
    .7800000  -3.5715638  -2.7445891
    .8000000  -3.3829390  -2.6756650
    .8200000  -3.1892249  -2.6056358
    .8400000  -2.9926503  -2.5351359
    .8600000  -2.7956412  -2.4647979
    .8800000  -2.6007621  -2.3952358
    .9000000  -2.4106422  -2.3270281
    .9200000  -2.2278915  -2.2607024
    .9400000  -2.0550090  -2.1967215
    .9600000  -1.8942866  -2.1354717
    .9800000  -1.7477158  -2.0772550
   1.0000000  -1.6169035  -2.0222842
   1.0200000  -1.5030029  -1.9706820
   1.0400000  -1.4066673  -1.9224846
   1.0600000  -1.3280263  -1.8776469
   1.0800000  -1.2666790  -1.8360513
   1.1000000  -1.2217317  -1.7975199
   1.1200000  -1.1918612  -1.7618285
   1.1400000  -1.1753888  -1.7287197
   1.1600000  -1.1703639  -1.6979160
   1.1800000  -1.1746836  -1.6691348
   1.2000000  -1.1861925  -1.6420989
   1.2200000  -1.2027728  -1.6165459
   1.2400000  -1.2224512  -1.5922381
   1.2600000  -1.2434503  -1.5689646
   1.2800000  -1.2642429  -1.5465456
   1.3000000  -1.2836077  -1.5248352
   1.3200000  -1.3005944  -1.5037156
   1.3400000  -1.3145570  -1.4830995
   1.3600000  -1.3251182  -1.4629243
   1.3800000  -1.3321151  -1.4431470
   1.4000000  -1.3356030  -1.4237433
   1.4200000  -1.3357645  -1.4046996
   1.4400000  -1.3329031  -1.3860123
   1.4600000  -1.3273815  -1.3676825
   1.4800000  -1.3195988  -1.3497147
   1.5000000  -1.3099539  -1.3321137
   1.5200000  -1.2988338  -1.3148841
   1.5400000  -1.2865849  -1.2980285
   1.5600000  -1.2735207  -1.2815480
   1.5800000  -1.2598996  -1.2654409
   1.6000000  -1.2459429  -1.2497040
   1.6200000  -1.2318202  -1.2343317
   1.6400000  -1.2176696  -1.2193174
   1.6600000  -1.2035894  -1.2046529
   1.6800000  -1.1896557  -1.1903294
   1.7000000  -1.1759173  -1.1763374
   1.7200000  -1.1624105  -1.1626671
   1.7400000  -1.1491543  -1.1493086
   1.7600000  -1.1361615  -1.1362523
   1.7800000  -1.1234357  -1.1234884
   1.8000000  -1.1109778  -1.1110076
   1.8200000  -1.0987840  -1.0988007
   1.8400000  -1.0868498  -1.0868589
   1.8600000  -1.0751689  -1.0751738
   1.8800000  -1.0637346  -1.0637372
   1.9000000  -1.0525400  -1.0525413
   1.9200000  -1.0415780  -1.0415786
   1.9400000  -1.0308416  -1.0308419
   1.9600000  -1.0203242  -1.0203243
   1.9800000  -1.0100191  -1.0100191
   2.0000000   -.9999200   -.9999201
   2.0200000   -.9900209   -.9900209
   2.0400000   -.9803158   -.9803158
   2.0600000   -.9707992   -.9707992
   2.0800000   -.9614656   -.9614656
   2.1000000   -.9523097   -.9523097
   2.1200000   -.9433265   -.9433265
   2.1400000   -.9345113   -.9345113
   2.1600000   -.9258592   -.9258592
   2.1800000   -.9173659   -.9173659
   2.2000000   -.9090270   -.9090270
   2.2200000   -.9008384   -.9008384
   2.2400000   -.8927959   -.8927959
   2.2600000   -.8848958   -.8848958
   2.2800000   -.8771343   -.8771343
   2.3000000   -.8695077   -.8695077
   2.3200000   -.8620126   -.8620126
   2.3400000   -.8546456   -.8546456
   2.3600000   -.8474035   -.8474035
   2.3800000   -.8402831   -.8402831
   2.4000000   -.8332813   -.8332813
   2.4200000   -.8263953   -.8263953
   2.4400000   -.8196222   -.8196222
   2.4600000   -.8129591   -.8129591
   2.4800000   -.8064035   -.8064035
   2.5000000   -.7999528   -.7999528
   2.5200000   -.7936045   -.7936045
   2.5400000   -.7873562   -.7873562
   2.5600000   -.7812055   -.7812055
   2.5800000   -.7751501   -.7751501
   2.6000000   -.7691879   -.7691879
   2.6200000   -.7633167   -.7633167
   2.6400000   -.7575344   -.7575344
   2.6600000   -.7518391   -.7518391
   2.6800000   -.7462288   -.7462288
   2.7000000   -.7407016   -.7407016
   2.7200000   -.7352557   -.7352557
   2.7400000   -.7298893   -.7298893
   2.7600000   -.7246006   -.7246006
   2.7800000   -.7193880   -.7193880
   2.8000000   -.7142499   -.7142499
   2.8200000   -.7091847   -.7091847
   2.8400000   -.7041908   -.7041908
   2.8600000   -.6992668   -.6992668
   2.8800000   -.6944111   -.6944111
   2.9000000   -.6896224   -.6896224
   2.9200000   -.6848993   -.6848993
   2.9400000   -.6802405   -.6802405
   2.9600000   -.6756446   -.6756446
   2.9800000   -.6711104   -.6711104
   3.0000000   -.6666366   -.6666366
   3.0200000   -.6622221   -.6622221
   3.0400000   -.6578657   -.6578657
   3.0600000   -.6535662   -.6535662
   3.0800000   -.6493226   -.6493226
   3.1000000   -.6451337   -.6451337
   3.1200000   -.6409985   -.6409985
   3.1400000   -.6369160   -.6369160
   3.1600000   -.6328851   -.6328851
   3.1800000   -.6289050   -.6289050
   3.2000000   -.6249746   -.6249746
   3.2200000   -.6210930   -.6210930
   3.2400000   -.6172594   -.6172594
   3.2600000   -.6134728   -.6134728
   3.2800000   -.6097323   -.6097323
   3.3000000   -.6060372   -.6060372
   3.3200000   -.6023866   -.6023866
   3.3400000   -.5987798   -.5987798
   3.3600000   -.5952159   -.5952159
   3.3800000   -.5916941   -.5916941
   3.4000000   -.5882138   -.5882138
   3.4200000   -.5847741   -.5847741
   3.4400000   -.5813745   -.5813745
   3.4600000   -.5780142   -.5780142
   3.4800000   -.5746925   -.5746925
   3.5000000   -.5714087   -.5714087
   3.5200000   -.5681623   -.5681623
   3.5400000   -.5649525   -.5649525
   3.5600000   -.5617788   -.5617788
   3.5800000   -.5586406   -.5586406
   3.6000000   -.5555372   -.5555372
