H
   1.      1.00     1     0
  0.420005  0.420005
   501   0.020
   3.0000000  -0.3333333  -0.3333333
   3.0200000  -0.3311258  -0.3311258
   3.0400000  -0.3289473  -0.3289473
   3.0600000  -0.3267973  -0.3267973
   3.0800000  -0.3246753  -0.3246753
   3.1000000  -0.3225806  -0.3225806
   3.1200000  -0.3205128  -0.3205128
   3.1400000  -0.3184713  -0.3184713
   3.1600000  -0.3164557  -0.3164557
   3.1800000  -0.3144654  -0.3144654
   3.2000000  -0.3125000  -0.3125000
   3.2200000  -0.3105590  -0.3105590
   3.2400000  -0.3086419  -0.3086419
   3.2600000  -0.3067484  -0.3067484
   3.2800000  -0.3048780  -0.3048780
   3.3000000  -0.3030303  -0.3030303
   3.3200000  -0.3012048  -0.3012048
   3.3400000  -0.2994012  -0.2994012
   3.3600000  -0.2976190  -0.2976190
   3.3800000  -0.2958580  -0.2958580
   3.4000000  -0.2941176  -0.2941176
   3.4200000  -0.2923976  -0.2923976
   3.4400000  -0.2906976  -0.2906976
   3.4600000  -0.2890173  -0.2890173
   3.4800000  -0.2873563  -0.2873563
   3.5000000  -0.2857143  -0.2857143
   3.5200000  -0.2840909  -0.2840909
   3.5400000  -0.2824859  -0.2824859
   3.5600000  -0.2808989  -0.2808989
   3.5800000  -0.2793296  -0.2793296
   3.6000000  -0.2777778  -0.2777778
   3.6200000  -0.2762431  -0.2762431
   3.6400000  -0.2747253  -0.2747253
   3.6600000  -0.2732240  -0.2732240
   3.6800000  -0.2717391  -0.2717391
   3.7000000  -0.2702703  -0.2702703
   3.7200000  -0.2688172  -0.2688172
   3.7400000  -0.2673797  -0.2673797
   3.7600000  -0.2659574  -0.2659574
   3.7800000  -0.2645502  -0.2645502
   3.8000000  -0.2631579  -0.2631579
   3.8200000  -0.2617801  -0.2617801
   3.8400000  -0.2604167  -0.2604167
   3.8600000  -0.2590673  -0.2590673
   3.8800000  -0.2577319  -0.2577319
   3.9000000  -0.2564102  -0.2564102
   3.9200000  -0.2551020  -0.2551020
   3.9400000  -0.2538071  -0.2538071
   3.9600000  -0.2525252  -0.2525252
   3.9800000  -0.2512563  -0.2512563
   4.0000000  -0.2500000  -0.2500000
   4.0200000  -0.2487562  -0.2487562
   4.0400000  -0.2475247  -0.2475247
   4.0600000  -0.2463054  -0.2463054
   4.0800000  -0.2450980  -0.2450980
   4.1000000  -0.2439024  -0.2439024
   4.1200000  -0.2427184  -0.2427184
   4.1400000  -0.2415459  -0.2415459
   4.1600000  -0.2403846  -0.2403846
   4.1800000  -0.2392344  -0.2392344
   4.2000000  -0.2380952  -0.2380952
   4.2200000  -0.2369668  -0.2369668
   4.2400000  -0.2358491  -0.2358491
   4.2600000  -0.2347418  -0.2347418
   4.2800000  -0.2336449  -0.2336449
   4.3000000  -0.2325581  -0.2325581
   4.3200000  -0.2314815  -0.2314815
   4.3400000  -0.2304148  -0.2304148
   4.3600000  -0.2293578  -0.2293578
   4.3800000  -0.2283105  -0.2283105
   4.4000000  -0.2272727  -0.2272727
   4.4200000  -0.2262444  -0.2262444
   4.4400000  -0.2252252  -0.2252252
   4.4600000  -0.2242153  -0.2242153
   4.4800000  -0.2232143  -0.2232143
   4.5000000  -0.2222222  -0.2222222
   4.5200000  -0.2212390  -0.2212390
   4.5400000  -0.2202643  -0.2202643
   4.5600000  -0.2192983  -0.2192983
   4.5800000  -0.2183406  -0.2183406
   4.6000000  -0.2173913  -0.2173913
   4.6200000  -0.2164502  -0.2164502
   4.6400000  -0.2155173  -0.2155173
   4.6600000  -0.2145923  -0.2145923
   4.6800000  -0.2136752  -0.2136752
   4.7000000  -0.2127660  -0.2127660
   4.7200000  -0.2118644  -0.2118644
   4.7400000  -0.2109705  -0.2109705
   4.7600000  -0.2100841  -0.2100841
   4.7800000  -0.2092050  -0.2092050
   4.8000000  -0.2083334  -0.2083334
   4.8200000  -0.2074689  -0.2074689
   4.8400000  -0.2066116  -0.2066116
   4.8600000  -0.2057613  -0.2057613
   4.8800000  -0.2049181  -0.2049181
   4.9000000  -0.2040817  -0.2040817
   4.9200000  -0.2032521  -0.2032521
   4.9400000  -0.2024292  -0.2024292
   4.9600000  -0.2016129  -0.2016129
   4.9800000  -0.2008032  -0.2008032
   5.0000000  -0.2000000  -0.2000000
   5.0200000  -0.1992032  -0.1992032
   5.0400000  -0.1984127  -0.1984127
   5.0600000  -0.1976285  -0.1976285
   5.0800000  -0.1968504  -0.1968504
   5.1000000  -0.1960785  -0.1960785
   5.1200000  -0.1953125  -0.1953125
   5.1400000  -0.1945526  -0.1945526
   5.1600000  -0.1937985  -0.1937985
   5.1800000  -0.1930502  -0.1930502
   5.2000000  -0.1923077  -0.1923077
   5.2200000  -0.1915709  -0.1915709
   5.2400000  -0.1908397  -0.1908397
   5.2600000  -0.1901141  -0.1901141
   5.2800000  -0.1893940  -0.1893940
   5.3000000  -0.1886793  -0.1886793
   5.3200000  -0.1879700  -0.1879700
   5.3400000  -0.1872660  -0.1872660
   5.3600000  -0.1865672  -0.1865672
   5.3800000  -0.1858736  -0.1858736
   5.4000000  -0.1851852  -0.1851852
   5.4200000  -0.1845019  -0.1845019
   5.4400000  -0.1838236  -0.1838236
   5.4600000  -0.1831502  -0.1831502
   5.4800000  -0.1824818  -0.1824818
   5.5000000  -0.1818182  -0.1818182
   5.5200000  -0.1811595  -0.1811595
   5.5400000  -0.1805055  -0.1805055
   5.5600000  -0.1798562  -0.1798562
   5.5800000  -0.1792115  -0.1792115
   5.6000000  -0.1785715  -0.1785715
   5.6200000  -0.1779360  -0.1779360
   5.6400000  -0.1773050  -0.1773050
   5.6600000  -0.1766785  -0.1766785
   5.6800000  -0.1760564  -0.1760564
   5.7000000  -0.1754386  -0.1754386
   5.7200000  -0.1748252  -0.1748252
   5.7400000  -0.1742161  -0.1742161
   5.7600000  -0.1736112  -0.1736112
   5.7800000  -0.1730104  -0.1730104
   5.8000000  -0.1724138  -0.1724138
   5.8200000  -0.1718213  -0.1718213
   5.8400000  -0.1712329  -0.1712329
   5.8600000  -0.1706485  -0.1706485
   5.8800000  -0.1700681  -0.1700681
   5.9000000  -0.1694916  -0.1694916
   5.9200000  -0.1689190  -0.1689190
   5.9400000  -0.1683502  -0.1683502
   5.9600000  -0.1677853  -0.1677853
   5.9800000  -0.1672241  -0.1672241
   6.0000000  -0.1666667  -0.1666667
   6.0200000  -0.1661130  -0.1661130
   6.0400000  -0.1655630  -0.1655630
   6.0600000  -0.1650165  -0.1650165
   6.0800000  -0.1644737  -0.1644737
   6.1000000  -0.1639345  -0.1639345
   6.1200000  -0.1633987  -0.1633987
   6.1400000  -0.1628665  -0.1628665
   6.1600000  -0.1623377  -0.1623377
   6.1800000  -0.1618123  -0.1618123
   6.2000000  -0.1612904  -0.1612904
   6.2200000  -0.1607717  -0.1607717
   6.2400000  -0.1602565  -0.1602565
   6.2600000  -0.1597445  -0.1597445
   6.2800000  -0.1592357  -0.1592357
   6.3000000  -0.1587302  -0.1587302
   6.3200000  -0.1582279  -0.1582279
   6.3400000  -0.1577287  -0.1577287
   6.3600000  -0.1572327  -0.1572327
   6.3800000  -0.1567399  -0.1567399
   6.4000000  -0.1562500  -0.1562500
   6.4200000  -0.1557633  -0.1557633
   6.4400000  -0.1552795  -0.1552795
   6.4600000  -0.1547988  -0.1547988
   6.4800000  -0.1543210  -0.1543210
   6.5000000  -0.1538462  -0.1538462
   6.5200000  -0.1533743  -0.1533743
   6.5400000  -0.1529052  -0.1529052
   6.5600000  -0.1524391  -0.1524391
   6.5800000  -0.1519757  -0.1519757
   6.6000000  -0.1515152  -0.1515152
   6.6200000  -0.1510574  -0.1510574
   6.6400000  -0.1506025  -0.1506025
   6.6600000  -0.1501502  -0.1501502
   6.6800000  -0.1497006  -0.1497006
   6.7000000  -0.1492538  -0.1492538
   6.7200000  -0.1488096  -0.1488096
   6.7400000  -0.1483680  -0.1483680
   6.7600000  -0.1479290  -0.1479290
   6.7800000  -0.1474927  -0.1474927
   6.8000000  -0.1470589  -0.1470589
   6.8200000  -0.1466276  -0.1466276
   6.8400000  -0.1461989  -0.1461989
   6.8600000  -0.1457726  -0.1457726
   6.8800000  -0.1453489  -0.1453489
   6.9000000  -0.1449276  -0.1449276
   6.9200000  -0.1445087  -0.1445087
   6.9400000  -0.1440923  -0.1440923
   6.9600000  -0.1436782  -0.1436782
   6.9800000  -0.1432665  -0.1432665
   7.0000000  -0.1428572  -0.1428572
   7.0200000  -0.1424502  -0.1424502
   7.0400000  -0.1420455  -0.1420455
   7.0600000  -0.1416431  -0.1416431
   7.0800000  -0.1412430  -0.1412430
   7.1000000  -0.1408451  -0.1408451
   7.1200000  -0.1404495  -0.1404495
   7.1400000  -0.1400561  -0.1400561
   7.1600000  -0.1396648  -0.1396648
   7.1800000  -0.1392758  -0.1392758
   7.2000000  -0.1388889  -0.1388889
   7.2200000  -0.1385042  -0.1385042
   7.2400000  -0.1381216  -0.1381216
   7.2600000  -0.1377411  -0.1377411
   7.2800000  -0.1373627  -0.1373627
   7.3000000  -0.1369863  -0.1369863
   7.3200000  -0.1366121  -0.1366121
   7.3400000  -0.1362398  -0.1362398
   7.3600000  -0.1358696  -0.1358696
   7.3800000  -0.1355014  -0.1355014
   7.4000000  -0.1351352  -0.1351352
   7.4200000  -0.1347709  -0.1347709
   7.4400000  -0.1344086  -0.1344086
   7.4600000  -0.1340483  -0.1340483
   7.4800000  -0.1336899  -0.1336899
   7.5000000  -0.1333334  -0.1333334
   7.5200000  -0.1329788  -0.1329788
   7.5400000  -0.1326260  -0.1326260
   7.5600000  -0.1322752  -0.1322752
   7.5800000  -0.1319262  -0.1319262
   7.6000000  -0.1315790  -0.1315790
   7.6200000  -0.1312336  -0.1312336
   7.6400000  -0.1308901  -0.1308901
   7.6600000  -0.1305483  -0.1305483
   7.6800000  -0.1302084  -0.1302084
   7.7000000  -0.1298702  -0.1298702
   7.7200000  -0.1295337  -0.1295337
   7.7400000  -0.1291990  -0.1291990
   7.7600000  -0.1288660  -0.1288660
